memmove time taken = 4327 usmfcc time taken = 443274us, kws time taken = 279473us res_idx = 6, result : 关闭屏幕
mfcc time taken = 444227us, kws time taken = 279156us res_idx = 1, result : 你好小京
mfcc time taken = 443729us, kws time taken = 279342us res_idx = 2, result : 你好小派
mfcc time taken = 443568us, kws time taken = 279222us res_idx = 11, result : 打开视频
mfcc time taken = 443488us, kws time taken = 279268us res_idx = 12, result : 关闭视频
mfcc time taken = 443379us, kws time taken = 279379us res_idx = 6, result : 关闭屏幕
mfcc time taken = 443340us, kws time taken = 279363us res_idx = 8, result : 调小音量
mfcc time taken = 443352us, kws time taken = 279304us res_idx = 7, result : 调大音量
mfcc time taken = 443532us, kws time taken = 279218us res_idx = 12, result : 关闭视频
mfcc time taken = 443571us, kws time taken = 279316us res_idx = 7, result : 调大音量
mfcc time taken = 443528us, kws time taken = 279303us res_idx = 10, result : 切换通道
mfcc time taken = 443423us, kws time taken = 279319us res_idx = 1, result : 你好小京
mfcc time taken = 443334us, kws time taken = 279329us res_idx = 6, result : 关闭屏幕
mfcc time taken = 444389us, kws time taken = 279350us res_idx = 1, result : 你好小京
mfcc time taken = 443806us, kws time taken = 279351us res_idx = 2, result : 你好小派
mfcc time taken = 443841us, kws time taken = 279290us res_idx = 11, result : 打开视频
mfcc time taken = 443846us, kws time taken = 279268us res_idx = 11, result : 打开视频
mfcc time taken = 443373us, kws time taken = 279308us res_idx = 0, result : 未知
mfcc time taken = 443809us, kws time taken = 279256us res_idx = 11, result : 打开视频
mfcc time taken = 443677us, kws time taken = 279371us res_idx = 11, result : 打开视频
mfcc time taken = 443454us, kws time taken = 279374us res_idx = 5, result : 点亮屏幕
mfcc time taken = 443808us, kws time taken = 279313us res_idx = 11, result : 打开视频
mfcc time taken = 443257us, kws time taken = 279362us res_idx = 1, result : 你好小京
mfcc time taken = 443863us, kws time taken = 279221us res_idx = 1, result : 你好小京
mfcc time taken = 443698us, kws time taken = 279354us res_idx = 2, result : 你好小派
mfcc time taken = 443416us, kws time taken = 279356us res_idx = 4, result : 唤醒模式
mfcc time taken = 443245us, kws time taken = 279335us res_idx = 6, result : 关闭屏幕
mfcc time taken = 443338us, kws time taken = 279459us res_idx = 4, result : 唤醒模式
